"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"360","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"401","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.vase.of.cattails","a. One thing",0,0,0,0,1,"FullCont",1,1,0
"402","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.variety.of.mugs","a. One thing",0,0,1,0,0,"Meas",2,1,0
"403","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.pack.of.matches","b. More than one thing",0,0,0,0,1,"FullCont",3,0,1
"404","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"405","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"407","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"408","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"409","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"410","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.matchbox.of.needles","b. More than one thing",0,0,0,0,1,"FullCont",10,0,1
"411","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"412","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.bottle.of.pills","b. More than one thing",0,0,0,0,1,"FullCont",12,0,1
"413","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"414","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"416","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"420","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"421","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"422","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"423","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"424","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"425","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.crate.of.tangerines","b. More than one thing",0,0,0,0,1,"FullCont",25,0,1
"426","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"427","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.set.of.dvds","a. One thing",0,1,0,0,0,"Coll",27,1,0
"428","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"430","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"431","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.bin.of.baseballs","b. More than one thing",0,0,0,1,0,"FullCont",31,0,1
"432","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"433","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"434","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.tube.of.balls","b. More than one thing",0,0,0,1,0,"FullCont",34,0,1
"435","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"436","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"437","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.group.of.llamas","a. One thing",0,1,0,0,0,"Coll",37,1,0
"440","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"481","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.vase.of.cattails","a. One thing",0,0,0,0,1,"FullCont",1,1,0
"482","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"483","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"484","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"485","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"487","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"488","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"489","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"490","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.matchbox.of.needles","a. One thing",0,0,0,0,1,"FullCont",10,1,0
"491","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"492","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"493","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"494","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"496","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"500","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"501","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"502","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"503","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"504","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"505","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"506","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"507","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.set.of.dvds","a. One thing",0,1,0,0,0,"Coll",27,1,0
"508","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"510","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"511","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.bin.of.baseballs","a. One thing",0,0,0,1,0,"FullCont",31,1,0
"512","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"513","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"514","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"515","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"516","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"517","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","a.group.of.llamas","b. More than one thing",0,1,0,0,0,"Coll",37,0,1
"520","R_2qfMWYJ8JXIsAgf",1,555498,617,54,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"561","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.vase.of.cattails","a. One thing",0,0,0,0,1,"FullCont",1,1,0
"562","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"563","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"564","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"565","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"567","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"568","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"569","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"570","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.matchbox.of.needles","a. One thing",0,0,0,0,1,"FullCont",10,1,0
"571","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"572","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.bottle.of.pills","b. More than one thing",0,0,0,0,1,"FullCont",12,0,1
"573","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"574","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"576","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"580","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"581","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"582","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"583","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"584","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"585","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"586","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"587","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"588","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"590","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"591","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.bin.of.baseballs","b. More than one thing",0,0,0,1,0,"FullCont",31,0,1
"592","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"593","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.troop.of.preschoolers","a. One thing",0,1,0,0,0,"Coll",33,1,0
"594","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"595","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.lot.of.postcards","a. One thing",0,0,1,0,0,"Meas",35,1,0
"596","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"597","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","a.group.of.llamas","b. More than one thing",0,1,0,0,0,"Coll",37,0,1
"600","R_2rOQ4sSgfBiIZxX",1,461361,276,24,"English","English","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"641","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.vase.of.cattails","b. More than one thing",0,0,0,0,1,"FullCont",1,0,1
"642","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"643","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"644","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"645","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"647","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"648","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"649","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"650","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.matchbox.of.needles","a. One thing",0,0,0,0,1,"FullCont",10,1,0
"651","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"652","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"653","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"654","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"656","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.crowd.of.onlookers","a. One thing",0,1,0,0,0,"Coll",16,1,0
"660","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"661","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"662","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"663","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"664","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"665","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"666","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"667","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"668","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"670","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"671","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.bin.of.baseballs","a. One thing",0,0,0,1,0,"FullCont",31,1,0
"672","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"673","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"674","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"675","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"676","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"677","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","a.group.of.llamas","b. More than one thing",0,1,0,0,0,"Coll",37,0,1
"680","R_33kvp1EKLs5kDi4",1,808857,316,28,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"721","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.vase.of.cattails","b. More than one thing",0,0,0,0,1,"FullCont",1,0,1
"722","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"723","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"724","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"725","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"727","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"728","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"729","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"730","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.matchbox.of.needles","b. More than one thing",0,0,0,0,1,"FullCont",10,0,1
"731","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"732","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"733","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"734","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"736","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"740","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"741","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"742","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"743","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"744","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"745","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.crate.of.tangerines","b. More than one thing",0,0,0,0,1,"FullCont",25,0,1
"746","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"747","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"748","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"750","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","more.chips","a. One thing",0,0,0,1,0,"Quant",30,1,0
"751","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.bin.of.baseballs","b. More than one thing",0,0,0,1,0,"FullCont",31,0,1
"752","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.sack.of.potatoes","b. More than one thing",0,0,0,0,1,"FullCont",32,0,1
"753","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"754","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"755","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"756","R_3CO84aoP3aGOsog",1,449817,386,37,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
